name,gender,gender_probability,age,country_id,country_name,country_probability
Chidi Kamara 0755002,male,0.6955,35,GH,Ghana,0.6114
Fatima Oliveira 1287142,male,0.8735,83,FR,France,0.7346
Ngozi Oliveira 2204190,male,0.7482,11,US,United States,0.708
Hassan Adeyemi 3798834,female,0.675,73,DE,Germany,0.5806
Hassan Kamara 4065242,female,0.6817,45,KE,Kenya,0.6675
Aisha Adeyemi 5884095,male,0.7265,87,FR,France,0.8881
Kofi Miller 6175745,female,0.945,50,ZA,South Africa,0.8329
Kofi Kamara 7165354,female,0.8948,11,KE,Kenya,0.9289
Ola Miller 8732107,male,0.8811,87,FR,France,0.85
Vikram Kamara 9513199,male,0.9559,64,FR,France,0.933
Vikram Adeyemi 10089040,female,0.6076,62,DE,Germany,0.9588
Vikram Suleiman 11842572,male,0.7854,84,KE,Kenya,0.7919
Chidi Patel 12055070,female,0.7761,66,US,United States,0.6591
Fatima Adeyemi 13578524,female,0.8005,9,NG,Nigeria,0.6725
Fatima Okafor 14690438,male,0.7681,84,GH,Ghana,0.7364
Zara Kumar 15485098,female,0.7645,17,ZA,South Africa,0.6726
Luis Okafor 16103972,male,0.7894,52,ZA,South Africa,0.644
Aisha Oliveira 17703049,female,0.6741,19,FR,France,0.6458
Zara Diallo 18182564,male,0.6267,23,NG,Nigeria,0.5799
Zara Miller 19362370,female,0.6797,33,FR,France,0.8651
Kofi Patel 20883187,male,0.8097,9,DE,Germany,0.7726
Hassan Kumar 21911152,male,0.9187,85,FR,France,0.6817
Fatima Miller 22980420,male,0.8474,87,US,United States,0.6662
Aisha Kumar 23089585,male,0.8152,56,EG,Egypt,0.7382
Aisha Patel 24221784,male,0.7422,39,KE,Kenya,0.9606
Luis Okafor 25197467,male,0.9807,20,KE,Kenya,0.9067
Zara Adeyemi 26843720,male,0.9401,48,KE,Kenya,0.9278
Hassan Suleiman 27395919,female,0.9771,8,US,United States,0.6728
Ngozi Diallo 28653527,male,0.8327,-5,EG,Egypt,0.7021
Amara Patel 29619563,female,0.9701,8,US,United States,0.9551
Hassan Mensah 30635024,male,0.764,24,FR,France,0.9638
Fatima Mensah 31626609,female,0.7724,56,US,United States,0.644
Fatima Oliveira 32804616,male,0.6575,25,EG,Egypt,0.5703
Chidi Diallo 33286459,male,0.8682,83,ZA,South Africa,0.9428
Ngozi Thomas 34675858,female,0.8071,85,KE,Kenya,0.7959
Vikram Suleiman 35424723,female,0.8932,33,IN,India,0.9195
Valentina Adeyemi 36045424,male,0.6902,19,GH,Ghana,0.8553
Ngozi Miller 37789475,male,0.7483,73,DE,Germany,0.5526
Luis Patel 38677899,female,0.7064,28,ZA,South Africa,0.7637
Fatima Mensah 39032373,male,0.8507,10,GB,United Kingdom,0.6097
Aisha Patel 40209002,female,0.7834,10,GB,United Kingdom,0.8796
Amara Adeyemi 41423697,male,0.6492,30,DE,Germany,0.8446
Amara Kamara 42939158,female,0.8257,13,KE,Kenya,0.9587
Luis Kamara 43353881,male,0.9052,72,EG,Egypt,0.7028
Hassan Miller 44697485,male,0.6687,55,IN,India,0.7796
Fatima Oliveira 45630812,male,0.9438,35,ZA,South Africa,0.6573
Aisha Suleiman 46907476,female,0.8735,76,US,United States,0.6716
Valentina Adeyemi 47354547,female,0.6363,2,IN,India,0.6475
Zara Patel 48157124,female,0.698,39,IN,India,0.6031
Ngozi Mensah 49371002,female,0.9247,12,FR,France,0.6803
Fatima Patel 50109484,male,0.8239,1,IN,India,0.7565
Chidi Adeyemi 51176725,male,0.9163,19,NG,Nigeria,0.9676
Amara Okafor 52679226,female,0.9861,75,IN,India,0.6844
Amara Thomas 53227746,male,0.601,20,KE,Kenya,0.7482
Kofi Miller 54801375,male,0.6448,54,DE,Germany,0.6489
Vikram Suleiman 55545876,female,0.7186,88,GH,Ghana,0.7271
Kofi Thomas 56542948,male,0.9204,86,ZA,South Africa,0.8035
Kofi Patel 57446470,female,0.73,52,IN,India,0.8449
Ola Okafor 58654137,female,0.9784,14,EG,Egypt,0.7278
Fatima Thomas 59196215,male,0.8142,34,NG,Nigeria,0.9582
Kofi Thomas 60927444,male,0.78,14,GH,Ghana,0.6017
Kofi Kumar 61274958,female,0.9595,24,KE,Kenya,0.7736
Ngozi Suleiman 62739892,female,0.7742,19,EG,Egypt,0.7631
Luis Diallo 63976191,male,0.8904,40,GB,United Kingdom,0.8603
Aisha Mensah 64461493,male,0.6389,56,US,United States,0.9506
Ngozi Kamara 65778006,female,0.9351,86,GH,Ghana,0.7172
Valentina Kumar 66469072,male,0.9816,55,ZA,South Africa,0.8846
Kofi Mensah 67163645,male,0.7607,67,KE,Kenya,0.85
Fatima Miller 68614356,female,0.8601,32,EG,Egypt,0.9455
Fatima Kumar 69255929,female,0.6777,38,EG,Egypt,0.7193
Aisha Oliveira 70789728,male,0.9374,72,EG,Egypt,0.8925
Hassan Mensah 71696345,female,0.8947,86,ZA,South Africa,0.8877
Kofi Suleiman 72835219,female,0.8915,41,GH,Ghana,0.6273
,female,0.7826,14,EG,Egypt,0.5831
Luis Kamara 74912085,female,0.8921,86,IN,India,0.6654
Vikram Kamara 75419340,male,0.9213,81,ZA,South Africa,0.9501
Valentina Suleiman 76471404,female,0.7447,58,KE,Kenya,0.9677
Zara Patel 77065933,male,0.7445,88,EG,Egypt,0.7451
Amara Okafor 78039728,female,0.8585,11,GH,Ghana,0.8323
Amara Okafor 79299571,male,0.7281,29,DE,Germany,0.6149
Ngozi Okafor 80107574,male,0.9081,45,KE,Kenya,0.6547
Aisha Kamara 81549044,male,0.7965,57,FR,France,0.966
Kofi Kumar 82165735,female,0.9507,9,IN,India,0.6917
Hassan Kamara 83858484,female,0.9093,12,FR,France,0.6003
Vikram Patel 84964004,female,0.7219,12,GB,United Kingdom,0.6875
Ola Patel 85648949,male,0.6234,71,US,United States,0.9709
Kofi Kamara 86483512,female,0.6404,45,EG,Egypt,0.7733
Vikram Okafor 87173308,male,0.9623,77,GB,United Kingdom,0.915
Chidi Suleiman 88243377,male,0.889,18,GB,United Kingdom,0.9776
Hassan Kumar 89264427,male,0.6614,19,GH,Ghana,0.8218
Ola Kamara 90329029,male,0.8645,36,GB,United Kingdom,0.811
Luis Mensah 91152563,female,0.6468,41,EG,Egypt,0.7688
Ngozi Oliveira 92446249,female,0.7793,2,NG,Nigeria,0.5843
Chidi Adeyemi 93440872,female,0.9587,88,DE,Germany,0.5888
Ngozi Patel 94788211,male,0.7989,67,GH,Ghana,0.9486
Amara Thomas 95686939,male,0.7927,80,GH,Ghana,0.882
Vikram Oliveira 96053408,male,0.7725,60,IN,India,0.6832
Valentina Okafor 97486341,female,0.8263,59,GH,Ghana,0.9699
Zara Thomas 98956393,female,0.7968,10,GH,Ghana,0.6259
Chidi Suleiman 99627698,male,0.8524,80,DE,Germany,0.579
Hassan Diallo 100170563,male,0.721,44,DE,Germany,0.8387
Aisha Patel 101393719,male,0.8615,82,FR,France,0.7737
Ola Okafor 102686511,male,0.9006,64,EG,Egypt,0.9175
Valentina Adeyemi 103967722,male,0.617,56,DE,Germany,0.7103
Fatima Thomas 104775411,male,0.8645,47,IN,India,0.801
Chidi Suleiman 105827291,male,0.7874,82,EG,Egypt,0.7133
Luis Suleiman 106330230,female,0.9629,44,ZA,South Africa,0.7326
